,Factory Name,Factory Type,Product Type Type,"Nike, Inc. Brand(s)",Supplier Group,Address,City,State,Country / Region,Region,Total Workers,Line Workers,% Female Workers,% Migrant Workers
507,"United Sweethearts Garment (Vietnam) Co., Ltd.",FINISHED GOODS,Apparel,Nike,UNITED SWEETHEART,Road 10 Nhon Trach I Industrial Zone,Dong Nai,Ðng Nai,Vietnam,SE ASIA,2400.0,1803.0,85.0,0.0
508,"Universal Sporting Goods (Thai) Co., Ltd.",FINISHED GOODS,Equipment,Nike,UNIVERSAL,91 Moo 1 Petchakasern Rd Soi Wattheintad T Banmai,samphan,Nakhon Pathom,Thailand,SE ASIA,540.0,464.0,79.0,2.5
509,VEGA BALLS MANUFACTURING,FINISHED GOODS,Equipment,Nike,VEGA BALL,653 Mu4 Soi E6 Phatthana 1Road,Mueang Samut Prakan District,Samut Prakan,Thailand,SE ASIA,371.0,355.0,75.0,0.0
510,"VERTEX APPAREL 2022 CO.,LTD.",FINISHED GOODS,Apparel,Nike,HI TECH,18 Moo 2 Nonphueng,Ubonratchathani,Ubon Ratchathani,Thailand,SE ASIA,1098.0,1056.0,74.0,2.5
511,"Vertex One Apparel Phils., Inc.",FINISHED GOODS,Apparel,Nike,Sports City,Crescent Road Lot 8 Block 4,Lapu Lapu City,Cebu,Philippines,N ASIA,2151.0,1329.0,40.0,0.0
512,Vertical Knits S.A. de C.V.,FINISHED GOODS,Apparel,Nike,VERTICAL KNITS,CALLE 20 131 C X 27 Y 29,Baca,Yucatán,Mexico,AMERICAS,2236.0,1218.0,53.0,0.0
513,Vertical Knits S.A. de C.V. (MDC - Tizimin),FINISHED GOODS,Apparel,Nike,VERTICAL KNITS,tablaje catastral 2669 SN CP 97702,Tizimin,Yucatán,Mexico,AMERICAS,801.0,589.0,43.0,1.0
514,"Viet Hong Garment Export Co., Ltd.",FINISHED GOODS,Apparel,Nike,SOUTH ISLAND,425B Nguyen Dinh Chieu St W 8,Ben Tre,Bn Tre,Vietnam,SE ASIA,1502.0,1256.0,68.0,0.0
515,Viet Khanh Company Limited,FINISHED GOODS,Apparel,Nike,SOUTH ISLAND,Hoa Phuc Hamlet Hoa Khanh Ward,Tien Giang,Tin Giang,Vietnam,SE ASIA,1377.0,1156.0,69.0,0.0
516,Viet Long Giang Garment Joint Stock Company ,FINISHED GOODS,Apparel,Nike,SOUTH ISLAND,Highway 91 Group 9,Can Tho City,Can Tho,Vietnam,SE ASIA,1455.0,1289.0,78.0,0.0
517,Viet Long Hung Garment Company Limited,FINISHED GOODS,Apparel,Nike,SOUTH ISLAND,"Hung Thanh Hamlet, Long Hung Ward",Go Cong Town,Tin Giang,Vietnam,SE ASIA,1876.0,1770.0,68.0,0.0
518,"Viet Pan - Pacific Nam Dinh Co., Ltd",FINISHED GOODS,Apparel,Nike,PAN PACIFIC,Giao Cu Trung village Dong Son commune Nam Truc district,Nam Dinh ,Nam Ðnh,Vietnam,SE ASIA,1955.0,1819.0,94.0,0.0
519,VIET THINH GARMENT JOINT STOCK COMPANY,FINISHED GOODS,Apparel,Nike,SOUTH ISLAND,58 Thoai Ngoc Hau street Ward Hoa Thanh Tan Phu District,HO CHI MINH,Ho Chi Minh,Vietnam,SE ASIA,1559.0,1286.0,77.0,0.0
520,Viet Tien Garment Corporation,FINISHED GOODS,Apparel,Nike,SOUTH ISLAND,7 Le Minh Xuan Street Ward 7 Tan Binh District,Ho Chi Minh,Ho Chi Minh,Vietnam,SE ASIA,1592.0,1429.0,75.0,0.0
521,VIETNAM CHINGLUH SHOES CO. Ltd.,FINISHED GOODS,Footwear,Nike,CHING LUH,Thuan Dao Industrial Park,Ben Luc County,Long An,Vietnam,SE ASIA,4636.5,4012.0,80.0,0.0
522,"Vietnam Chingluh Shoes Co., Ltd - Vinh Long Branch",FINISHED GOODS,Footwear,Nike,CHING LUH,LOT G2 to G8 BINH MINH INDUSTRIAL PARK,Binh Minh,Vinh Long,Vietnam,SE ASIA,1270.0,1147.0,66.0,0.0
